Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-TH_MY-2032-06,1,Battery,C964823
C1,0805,1,47uF,
C2,0805,1,100nF,
C3,0805,1,0.1uF,
C4,0805,1,82pF,
C5,0805,1,3.9pF,
D1,0805,1,LED,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Socket,
"J3, J4",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J6,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
L1,0805,1,8.2nH,
L2,0805,1,100nH,
R1,0805,1,1k,
"R2, R3",0805,2,10k,
U1,SOT23-6,1,CMT2119A,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH32V003FxPx,
U3,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,26Mhz,
AN1,Antenna_Helical_Spring,1,868MHz